,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
82,2497473678235403715,44928907276,instagram,2021-01-30 01:41:24,23,News today update facts of the day,News today update facts of the day,News today update facts of the day,"['today', 'update', 'facts', 'day']",0.0,0.0
209,2498969812124817063,44928907276,instagram,2021-02-01 03:13:57,22,News today facts of the day summary,News today facts of the day summary,News today facts of the day summary,"['today', 'facts', 'day', 'summary']",0.0,0.0
279,2499676630782217488,44928907276,instagram,2021-02-02 02:38:16,19,News us today,News us today,News us today,"['us', 'today']",0.0,0.0
560,2502521874464821989,44928907276,instagram,2021-02-06 00:51:16,25,News today facts of the day summary,News today facts of the day summary,News today facts of the day summary,"['today', 'facts', 'day', 'summary']",0.0,0.0
876,2505381274410547229,44172838713,instagram,2021-02-09 23:32:23,6,"Impeach and Convict Donald Trump Lapel Pins from Santa Teresa Studios, santateresastudios.com","Impeach and Convict Donald Trump Lapel Pins from Santa Teresa Studios, santateresastudios.com","Impeach and Convict Donald Trump Lapel Pins from Santa Teresa Studios, santateresastudios.com","['impeach', 'convict', 'lapel', 'pins', 'santa', 'teresa', 'studios']",0.0,0.0
915,2505442155672015289,44928907276,instagram,2021-02-10 01:33:21,23,News update facts of the day news summary quiz quizzes updated every day on every topic,News update facts of the day news summary quiz quizzes updated every day on every topic,News update facts of the day news summary quiz quizzes updated every day on every topic,"['update', 'facts', 'day', 'summary', 'quiz', 'quizzes', 'updated', 'every', 'day', 'every', 'topic']",0.0,0.0
1157,2505751547675103089,32195075229,instagram,2021-02-10 11:48:03,11,"2021 feb 9th, #tool #rental #🪓







#toolrental #homedepot #dumptrump #crappycar #embarassment #trumpsupporters #🔨 #🛠 #🔩 #⛓ #🗜 #🔧 #🪛 #⛏ #⚒️ #🪚 #⚙️ #🧰 #cantbelievetherestrumpsupportersinhawaii #dangerous #loser #getalife #bye #impeachtrump #trash #garbage","2021 feb 9th,   







                         ","2021 feb 9th,   







                         ",['feb'],0.0,0.0
1269,2506172439421959179,44928907276,instagram,2021-02-11 01:44:17,22,News today facts of the day summary quiz quizzes every day every topic,News today facts of the day summary quiz quizzes every day every topic,News today facts of the day summary quiz quizzes every day every topic,"['today', 'facts', 'day', 'summary', 'quiz', 'quizzes', 'every', 'day', 'every', 'topic']",0.0,0.0
0,17985862963333577,7947840139,instagram,2021-02-15 02:25:52,1,Trump is based stfu,Trump is based stfu,Trump is based stfu,"['based', 'stfu']",0.0,0.0
1,17903656549677337,44932096155,instagram,2021-01-19 04:52:37,2,I love your work 💯,I love your work 💯,I love your work ,"['love', 'work']",0.6369,0.6369
2,17887117012943012,44932096155,instagram,2021-01-18 01:34:26,1,I survived as well.We got thru it tho. Others voting him in and others got him removed.2Me.Trump was.a mistake 2evenB in office. 🍀,I survived as well.We got thru it tho. Others voting him in and others got him removed.2Me.Trump was.a mistake 2evenB in office. 🍀,I survived as well.We got thru it tho. Others voting him in and others got him removed.2Me.Trump was.a mistake 2evenB in office. ,"['survived', 'got', 'thru', 'tho', 'others', 'voting', 'others', 'got', 'mistake', 'office']",0.2263,0.2263
3,17993289781311660,27864408893,instagram,2021-01-14 17:32:17,0,No No No,No No No,No No No,[],0.4168,0.4168
4,17858276657342010,32878502,instagram,2021-01-12 04:07:06,0,What about the day that David dorn was murdered?,What about the day that David dorn was murdered?,What about the day that David dorn was murdered?,"['day', 'david', 'dorn', 'murdered']",-0.6597,-0.6597
5,17856923021428474,1911423961,instagram,2021-01-11 20:30:04,0,I think you misprinted 2016 - 2024,I think you misprinted 2016 - 2024,I think you misprinted 2016 - 2024,"['think', 'misprinted']",0.0,0.0
6,17879374829074553,39609036244,instagram,2021-01-11 01:08:38,2,Don't shit yourself 🔥,Don't shit yourself 🔥,Don't shit yourself ,['shit'],0.6072,0.4449
7,18186489988014000,676857457,instagram,2021-01-09 15:11:19,2,Lol 🤣🤣🤣🤣,Lol 🤣🤣🤣🤣,Lol 🤣🤣🤣🤣,['lol'],0.9393,0.9393
8,17919978571522496,44712649461,instagram,2021-01-08 11:53:47,2,I love the taste of Trump Tears in the morning 🦜🦜,I love the taste of Trump Tears in the morning 🦜🦜,I love the taste of Trump Tears in the morning 🦜🦜,"['love', 'taste', 'tears', 'morning']",0.5106,0.5106
9,17922203512503720,2058888771,instagram,2021-01-08 03:24:56,2,Two more weeks. It ain’t over til it’s over,Two more weeks. It ain’t over til it’s over,Two more weeks. It ain’t over til it’s over,"['two', 'weeks', 'til']",0.0,0.0
10,17916642430548987,222416177,instagram,2021-01-08 03:14:43,2,"When a political party does not respect the rules of democracy, the state has the right to take steps and this includes, party dissolution. #killthepartyoftrump","When a political party does not respect the rules of democracy, the state has the right to take steps and this includes, party dissolution. ","When a political party does not respect the rules of democracy, the state has the right to take steps and this includes, party dissolution. ","['political', 'party', 'respect', 'rules', 'democracy', 'state', 'right', 'take', 'steps', 'includes', 'party', 'dissolution']",0.4303,0.4303
11,18149770069115727,18749825978,instagram,2021-01-07 22:41:48,1,So many can't say this...😬☹,So many can't say this...😬☹,So many can't say this...,"['many', 'ca', 'say']",-0.631,0.0
12,18046790215284029,26104267977,instagram,2021-01-07 21:18:06,2,Excuse me but may I please shake your hand sir,Excuse me but may I please shake your hand sir,Excuse me but may I please shake your hand sir,"['excuse', 'may', 'please', 'shake', 'hand', 'sir']",0.7469,0.7469
13,18185794747036733,8181384302,instagram,2021-01-07 20:49:03,1,Let’s make this a book,Let’s make this a book,Let’s make this a book,"['let', 'make', 'book']",0.0,0.0
14,17977946515340886,2139600553,instagram,2021-01-07 17:00:34,2,#magamartyr,,,[],0.0,0.0
15,17902270465688668,1240509854,instagram,2021-01-07 09:11:37,3,"Sheep, it’s pathetic","Sheep, it’s pathetic","Sheep, it’s pathetic","['sheep', 'pathetic']",-0.5719,-0.5719
16,18182490259059742,8255480617,instagram,2021-01-07 08:22:32,3,This should be a t shirt,This should be a t shirt,This should be a t shirt,['shirt'],0.0,0.0
