,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_score_emoji,vader_score_no_emoji,vader_compound_emoji,vader_compound_no_emoji
0,17916024808583798,3544668418,instagram,2021-02-19 00:52:00,1,Well stated!,Well stated!,Well stated!,"['well', 'stated']",0.3382,0.3382,0.3382,0.3382
1,17874135509220349,30746756357,instagram,2021-02-16 01:55:25,1,😂😂👏,😂😂👏,,[],0.7003,0.0,0.7003,0.0
2,17891163556905576,10563354725,instagram,2021-02-12 00:05:16,1,The hand makes it sublime,The hand makes it sublime,The hand makes it sublime,"['hand', 'makes', 'sublime']",0.4939,0.4939,0.4939,0.4939
3,18126510583195827,10563354725,instagram,2021-02-12 00:04:00,1,Missed this one b4 and the band aid too. Too good,Missed this one b4 and the band aid too. Too good,Missed this one b4 and the band aid too. Too good,"['missed', 'band', 'aid', 'good']",0.1779,0.1779,0.1779,0.1779
4,17912957488603721,9704226,instagram,2021-02-03 22:33:08,1,😜😜😜perfect❣️,😜😜😜perfect❣️,perfect,[],0.6369,0.5719,0.6369,0.5719
5,17943391621429260,14076519593,instagram,2021-01-23 07:49:06,1,All you have to do is point.,All you have to do is point.,All you have to do is point.,['point'],0.0,0.0,0.0,0.0
6,17881615940045606,15539972416,instagram,2021-01-19 00:49:27,1,How did I miss this??? Hope they have a truck with a lift... he can’t walk up those ramps! I want to be sure they don’t leave him behind!!!,How did I miss this??? Hope they have a truck with a lift... he can’t walk up those ramps! I want to be sure they don’t leave him behind!!!,How did I miss this??? Hope they have a truck with a lift... he can’t walk up those ramps! I want to be sure they don’t leave him behind!!!,"['miss', 'hope', 'truck', 'lift', 'walk', 'ramps', 'want', 'sure', 'leave', 'behind']",0.7835,0.7835,0.7835,0.7835
7,18188166058016505,2253165030,instagram,2021-01-17 10:27:47,1,🔥🔥🔥,🔥🔥🔥,,[],-0.7351,0.0,-0.7351,0.0
8,17926878391491733,3918775337,instagram,2021-01-16 06:13:53,1,Please take it away - I’ll gladly pay more for the extra weight fee. 🙏,Please take it away - I’ll gladly pay more for the extra weight fee. 🙏,Please take it away - I’ll gladly pay more for the extra weight fee. ,"['please', 'take', 'away', 'gladly', 'pay', 'extra', 'weight', 'fee']",0.5106,0.5106,0.5106,0.5106
9,17885488096903546,2331477491,instagram,2021-01-16 02:37:10,1,Hahahahahahahahahaha,Hahahahahahahahahaha,Hahahahahahahahahaha,['hahahahahahahahahaha'],0.0,0.0,0.0,0.0
10,17871661589156571,455886068,instagram,2021-01-15 23:43:09,1,💙💙,💙💙,,[],0.8555,0.0,0.8555,0.0
11,18180298192070652,6265516263,instagram,2021-01-14 18:51:19,1,Good question about the toxic waste?,Good question about the toxic waste?,Good question about the toxic waste?,"['good', 'question', 'toxic', 'waste']",0.0258,0.0258,0.0258,0.0258
12,17916555562576230,367290780,instagram,2021-01-13 11:57:10,1,Thanks for the laughter 😀,Thanks for the laughter 😀,Thanks for the laughter ,"['thanks', 'laughter']",0.8225,0.7269,0.8225,0.7269
13,18145012147121711,1823937883,instagram,2021-01-13 09:46:11,1,Nicely done Brett. I especially appreciate the attention to detail you gave to the tiny hands🤣,Nicely done Brett. I especially appreciate the attention to detail you gave to the tiny hands🤣,Nicely done Brett. I especially appreciate the attention to detail you gave to the tiny hands🤣,"['nicely', 'done', 'brett', 'especially', 'appreciate', 'attention', 'detail', 'gave', 'tiny']",0.8439,0.8439,0.8439,0.8439
14,17870630810214048,363972512,instagram,2021-01-13 06:29:20,1,This is perfect.,This is perfect.,This is perfect.,['perfect'],0.5719,0.5719,0.5719,0.5719
15,17930215999474430,5475686182,instagram,2021-01-13 05:13:06,1,😂 Love it! Yea... I don’t know... he’s pretty toxic! 💕,😂 Love it! Yea... I don’t know... he’s pretty toxic! 💕, Love it! Yea... I don’t know... he’s pretty toxic! ,"['love', 'yea', 'know', 'pretty', 'toxic']",0.9449,0.8395,0.9449,0.8395
16,18101272864205065,1108865625,instagram,2021-01-13 04:02:18,1,Seriously toxic waste!,Seriously toxic waste!,Seriously toxic waste!,"['seriously', 'toxic', 'waste']",-0.5848,-0.5848,-0.5848,-0.5848
17,17977225063343534,7281129774,instagram,2021-01-13 03:51:26,1,This is great Brett. Someone on FB is getting ready for a virtual moving party once the moving vans get there. I needed a laugh today as I’m worried about the coming week ❤️🙏😘 Thanks for your art 🖼 💋💋💋💋,This is great Brett. Someone on FB is getting ready for a virtual moving party once the moving vans get there. I needed a laugh today as I’m worried about the coming week ❤️🙏😘 Thanks for your art 🖼 💋💋💋💋,This is great Brett. Someone on FB is getting ready for a virtual moving party once the moving vans get there. I needed a laugh today as I’m worried about the coming week  Thanks for your art  ,"['great', 'brett', 'someone', 'fb', 'getting', 'ready', 'virtual', 'moving', 'party', 'moving', 'vans', 'get', 'needed', 'laugh', 'today', 'worried', 'coming', 'week', 'thanks', 'art']",0.979,0.9274,0.979,0.9274
18,18135685114082383,3174987505,instagram,2021-01-13 03:41:25,1,👏👏👏👏,👏👏👏👏,,[],0.0,0.0,0.0,0.0
19,17890785577889054,1025822241,instagram,2021-01-13 02:23:02,1,Right on! 🔥👍👏,Right on! 🔥👍👏,Right on! ,['right'],-0.4003,0.0,-0.4003,0.0
20,17956318204386348,255473151,instagram,2021-01-13 02:22:54,1,Garbage in. Garbage out 👍,Garbage in. Garbage out 👍,Garbage in. Garbage out ,"['garbage', 'garbage']",0.0,0.0,0.0,0.0
