,comment_id,user_id,platform,date_time,likes_count,comment,comment_no_emoji,comment_processed
0,17966998288364376,33597388,instagram,2021-02-13 22:54:15,0,Yeah all the black people attacking and murdering Hasidic Jews needs to stop. Blacks can  be racists too. In fact growing up Jewish in Brooklyn the only racism I experienced was by black people.,Yeah all the black people attacking and murdering Hasidic Jews needs to stop. Blacks can  be racists too. In fact growing up Jewish in Brooklyn the only racism I experienced was by black people.,"['yeah', 'black', 'people', 'attacking', 'murdering', 'hasidic', 'jews', 'needs', 'stop', 'blacks', 'racists', 'fact', 'growing', 'jewish', 'brooklyn', 'racism', 'experienced', 'black', 'people']"
1,17885746028017595,2299592476,instagram,2021-02-13 09:13:03,0,Are you referring to what is happening on the NYC subway?,Are you referring to what is happening on the NYC subway?,"['referring', 'happening', 'nyc', 'subway']"
2,17842696493521935,1651100777,instagram,2021-01-22 12:51:37,0,🙌,,[]
3,18138103390087013,4147796433,instagram,2021-01-21 06:42:10,1,@debbyanmcfarlane,,[]
4,17914123522572768,41693285374,instagram,2021-01-19 20:39:03,0,"I have a proposal for you, talk me to privately 📥📥📥","I have a proposal for you, talk me to privately ","['proposal', 'talk', 'privately']"
5,18144843493124848,9032964835,instagram,2021-01-16 12:20:32,0,Is it?,Is it?,[]
6,17871945506148143,2061711886,instagram,2021-01-12 11:37:17,0,The hooodie 🔥🔥🔥🔥🔥😍😍😍😍😍😍😍,The hooodie ,['hooodie']
7,17857945781402408,4028120102,instagram,2021-01-09 17:27:27,0,#tuckfrump,,[]
8,17874330830149141,30988121,instagram,2021-01-09 15:35:12,0,💕🙌,,[]
9,17884671289904140,394056490,instagram,2021-01-09 12:43:53,0,Love this hoodie 😍,Love this hoodie ,"['love', 'hoodie']"
10,17856299921459116,12982488836,instagram,2021-01-09 10:31:02,1,❤️🙏🙏,,[]
11,17904102124655856,497787366,instagram,2021-01-09 08:10:35,0,I will stand up and speak up! Racism must end. We must learn to love each other.💙💙💙💙,I will stand up and speak up! Racism must end. We must learn to love each other.,"['stand', 'speak', 'racism', 'must', 'end', 'must', 'learn', 'love']"
12,17916850288543279,288186439,instagram,2021-01-09 06:43:44,0,"It gives me anger, sadness and frustration but I'll never give up! I do what I can do with the tiny power I have... I believe in repetition. We need to repeat information over and over again to brainwash people's brains the other way around. Schools, parents, media can do a lot with this narrative. My daughter and her friends is even better then me! I think something is happening with the new generations! 🙏🏻❤","It gives me anger, sadness and frustration but I'll never give up! I do what I can do with the tiny power I have... I believe in repetition. We need to repeat information over and over again to brainwash people's brains the other way around. Schools, parents, media can do a lot with this narrative. My daughter and her friends is even better then me! I think something is happening with the new generations! ","['gives', 'anger', 'sadness', 'frustration', 'never', 'give', 'tiny', 'power', 'believe', 'repetition', 'need', 'repeat', 'information', 'brainwash', 'people', 'brains', 'way', 'around', 'schools', 'parents', 'media', 'lot', 'narrative', 'daughter', 'friends', 'even', 'better', 'think', 'something', 'happening', 'new', 'generations']"
13,17891360419874496,288186439,instagram,2021-01-09 06:39:29,0,I need that hoodie! ❤️,I need that hoodie! ,"['need', 'hoodie']"
14,18188174896010755,370767124,instagram,2021-01-09 06:02:41,0,ANY color does,ANY color does,['color']
15,17847124100508409,2214674667,instagram,2021-01-09 02:48:36,1,✊🏽,,[]
16,17881915091013317,2214674667,instagram,2021-01-09 02:48:30,1,🖤,,[]
17,17891155906867353,2214674667,instagram,2021-01-09 02:48:14,1,FACTS are FACTS 💯,FACTS are FACTS ,"['facts', 'facts']"
18,17867650004305464,325137840,instagram,2021-01-09 02:11:26,0,🙏🏾🙏🏾🙏🏾🙏🏾🙌🏾🙌🏾🙌🏾🤞🏾🤞🏾🤞🏾🤞🏾💔💔💔 it's Disheartening and worrisome when you have to worry about your children especially a son. #WETHEPEOPLE 🤔🤔🤔🤔🤔 ✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾,🤞🤞🤞🤞 it's Disheartening and worrisome when you have to worry about your children especially a son.  🤔🤔🤔🤔🤔 ,"['disheartening', 'worrisome', 'worry', 'children', 'especially', 'son']"
19,17878264700098898,15140665,instagram,2021-01-08 23:21:23,0,💯,,[]
20,18101540875204305,8014625963,instagram,2021-01-08 23:04:56,0,"I'm lost for words never ever in my lifetime ever imagined I would see this kinda behavior in the United states of America, but I'll give kudos to some movie directors they warned us","I'm lost for words never ever in my lifetime ever imagined I would see this kinda behavior in the United states of America, but I'll give kudos to some movie directors they warned us","['lost', 'words', 'never', 'ever', 'lifetime', 'ever', 'imagined', 'would', 'see', 'kinda', 'behavior', 'united', 'states', 'america', 'give', 'kudos', 'movie', 'directors', 'warned', 'us']"
21,17869606202237282,1036871,instagram,2021-01-08 21:28:07,0,❤️❤️❤️,,[]
22,18142728511188745,235401110,instagram,2021-01-08 21:06:54,0,Yes,Yes,['yes']
23,17932222063453604,3179845557,instagram,2021-01-08 20:56:09,0,✊🏻✊🏽✊🏿,,[]
